netID,score
colluder,1.0409314024390244
colluder,1.03703993902439
colluder,1.036280487804878
colluder,1.0374390243902438
colluder,1.031280487804878
colluder,1.0335310975609755
colluder,1.033869207317073
colluder,1.0363304878048778
colluder,1.036424695121951
colluder,1.0355155487804877
colluder,1.044351524390244
colluder,1.0376719512195123
colluder,1.040670731707317
colluder,1.0320067073170731
colluder,1.032466768292683
colluder,1.0348780487804878
colluder,1.0370676829268293
colluder,1.0465521341463413
colluder,1.0305155487804878
colluder,1.0328326219512194
colluder,1.0325554878048782
colluder,1.0342573170731708
colluder,1.0418515243902442
colluder,1.038714024390244
colluder,1.032621951219512
colluder,1.0358536585365854
colluder,1.0408759146341462
colluder,1.04517743902439
colluder,1.028869207317073
colluder,1.0422783536585365
colluder,1.0425445121951218
colluder,1.0379768292682927
colluder,1.0285588414634146
colluder,1.0383481707317073
colluder,1.034262804878049
faker,1.0746878048780477
faker,1.0770390243902432
faker,1.0606692073170718
gambler,1.058456402439021
gambler,1.0487743902438986
gambler,1.0636249999999958
