netID,score
colluder,1.1889693675889306
colluder,1.2090019762845834
colluder,1.1892213438735162
colluder,1.179537549407113
colluder,1.1722608695652175
colluder,1.1793577075098787
colluder,1.178261857707507
colluder,1.1944496047430793
colluder,1.1607806324110663
colluder,1.1765543478260865
colluder,1.1981146245059267
colluder,1.2005395256916969
colluder,1.1993003952569132
faker,1.3049249011857689
faker,1.2986205533596837
faker,1.3032391304347797
faker,1.3313932806324131
faker,1.322461462450592
gambler,1.2423003952569174
gambler,1.2731926877470356
gambler,1.258702569169963
gambler,1.251916996047433
gambler,1.2737351778656119
