netID,score
colluder,0.33256926406926113
colluder,0.32552489177488925
colluder,0.32212012987012684
colluder,0.3310930735930706
faker,0.46854004329004134
faker,0.4845984848484833
faker,0.47354112554112326
faker,0.48492748917748774
faker,0.47235714285714114
faker,0.47885389610389334
faker,0.4859729437229413
faker,0.47966233766233624
faker,0.47960173160172914
gambler,0.45977056277056244
gambler,0.45728030303030215
gambler,0.46952813852813874
gambler,0.4583928571428569
gambler,0.45053354978355015
gambler,0.46692640692640597
gambler,0.45187121212121206
gambler,0.4634080086580083
gambler,0.4627305194805198
