netID,score
colluder,0.5920488095238104
colluder,0.57295119047619
colluder,0.5944464285714298
faker,0.7685630952380978
faker,0.7679154761904795
faker,0.7905797619047658
gambler,0.7666261904761914
gambler,0.7799845238095251
gambler,0.7733916666666685
greedy,0.42294999999999855
greedy,0.42592976190476106
greedy,0.42830357142857056
safe,0.42799285714285695
safe,0.42927976190476197
safe,0.43134642857142813
spnash,0.5229559523809525
spnash,0.5373440476190467
spnash,0.5309511904761908
versus,0.7652166666666705
versus,0.7634035714285762
versus,0.7541761904761939
