netID,score
faker,0.0525511695906436
faker,0.05813888888888924
faker,0.04949122807017567
faker,0.0546798245614038
faker,0.05295029239766111
faker,0.059070175438596884
faker,0.05348245614035116
faker,0.050156432748538295
faker,0.05654239766081908
faker,0.053349415204678646
faker,0.0568084795321641
gambler,0.07247807017543903
gambler,0.07057309941520505
gambler,0.06963888888888926
gambler,0.07061111111111158
gambler,0.06766081871345068
gambler,0.0688596491228074
gambler,0.0720321637426905
gambler,0.06769590643274889
